code,
% Electricity,
EL01,
EL02,
EL03,
EL04,
EL05,
EL06,
EL07,
EL08,
EL09,
EL10,
EL11,
EL12,
EL13,
% Coal production nodes,
%,CPAL
%,CPAZ
%,CPAR
%,CPCO
%,CPIL
%,CPIN
%,CPKS
%,CPKY
%,CPLA
%,CPMD
%,CPMS
%,CPMO
%,CPMT
%,CPNM
%,CPND
%,CPOH
%,CPOK
%,CPPA
%,CPTN
%,CPTX
%,CPUT
%,CPVA
%,CPWV
%,CPWY
% Natural gas transhipment nodes,
NTAL,
NTAR,
NTAZ,
NTCA,
NTCO,
NTCT,
NTDE,
NTFL,
NTGA,
NTIA,
NTID,
NTIL,
NTIN,
NTKS,
NTKY,
NTLA,
NTMA,
NTMD,
NTME,
NTMI,
NTMN,
NTMO,
NTMS,
NTMT,
NTNC,
NTND,
NTNE,
NTNH,
NTNJ,
NTNM,
NTNV,
NTNY,
NTOH,
NTOK,
NTOR,
NTPA,
NTRI,
NTSC,
NTSD,
NTTN,
NTTX,
NTUT,
NTVA,
NTVT,
NTWA,
NTWI,
NTWV,
NTWY,
NTFG % Gulf of Mexico,
NTFP % Pacific off-shore,
NTBC % Canada,
NTAB,
NTSK,
NTMB,
NTON,
NTQU,
NTNB,
NOMX % Mexico,
% Natural gas production,
NPAL,
NPAR,
NPAZ,
NPCA,
NPCO,
NPKS,
NPLA,
NPMI,
NPMS,
NPMT,
NPND,
NPNE,
NPNM,
NPNY,
NPOH,
NPOK,
NPOR,
NPSD,
NPTX,
NPUT,
NPVA,
NPWV,
NPWY,
NPFG,
NPFP,
NPFL,%newly included production sites - 2012 update
NPIL,
NPIN,
NPKY,
NPMD,
NPPA,
NPTN,
% Natural gas storage,
NSAL,
NSAR,
NSCA,
NSCO,
NSIL,
NSIN,
NSIA,
NSKS,
NSKY,
NSLA,
NSMD,
NSMI,
NSMN,
NSMS,
NSMO,
NSMT,
NSNE,
NSNM,
NSNY,
NSOH,
NSOK,
NSOR,
NSPA,
NSTN,
NSTX,
NSUT,
NSVA,
NSWA,
NSWV,
NSWY,
% Pulverized coal w/ CCS,
E401,
E402,
E403,
E404,
E405,
E406,
E407,
E408,
E409,
E410,
E411,
E412,
E413,
% Pulverized coal,
EC01,
EC02,
EC03,
EC04,
EC05,
EC06,
EC07,
EC08,
EC09,
EC10,
EC11,
EC12,
EC13,
% IGCC w/ CCS (E5),
E501,
E502,
E503,
E504,
E505,
E506,
E507,
E508,
E509,
E510,
E511,
E512,
E513,
% IGCC,
ED01,
ED02,
ED03,
ED04,
ED05,
ED06,
ED07,
ED08,
ED09,
ED10,
ED11,
ED12,
ED13,
% Inland Wind,
EW01,
EW02,
EW03,
EW04,
EW05,
EW06,
EW07,
EW08,
EW09,
EW10,
EW11,
EW12,
EW13,
% Off-shore wind,
EY02,
EY03,
EY07,
EY08,
EY09,
EY11,
EY13,
% PV Solar,
EV01,
EV02,
EV03,
EV04,
EV05,
EV06,
EV07,
EV08,
EV09,
EV10,
EV11,
EV12,
EV13,
% Solar Thermal,
EU01,
EU02,
EU03,
EU04,
EU05,
EU06,
EU07,
EU08,
EU09,
EU10,
EU11,
EU12,
EU13,
% Nuclear,
EN01,
EN02,
EN03,
EN04,
EN05,
EN06,
EN07,
EN08,
EN09,
EN10,
EN11,
EN12,
EN13,
% Oil,
EO01,
EO02,
EO03,
EO04,
EO05,
EO06,
EO07,
EO08,
EO09,
EO10,
EO11,
EO12,
EO13,
% IPCC,
EP01,
EP02,
EP03,
EP04,
EP05,
EP06,
EP07,
EP08,
EP09,
EP10,
EP11,
EP12,
EP13,
% Hydro,
EH01,
EH02,
EH03,
EH04,
EH05,
EH06,
EH07,
EH08,
EH09,
EH10,
EH11,
EH12,
EH13,
% NGCC w/ CCS (E6),
E601,
E602,
E603,
E604,
E605,
E606,
E607,
E608,
E609,
E610,
E611,
E612,
E613,
% NGCC,
EG01,
EG02,
EG03,
EG04,
EG05,
EG06,
EG07,
EG08,
EG09,
EG10,
EG11,
EG12,
EG13,
% CT,
ET01,
ET02,
ET03,
ET04,
ET05,
ET06,
ET07,
ET08,
ET09,
ET10,
ET11,
ET12,
ET13,
% Tidal Power,
E202,
E203,
E207,
E208,
E209,
E211,
E213,
% Oceanic Thermal,
E302,
E303,
E307,
E308,
E309,
E311,
E313,
% Geothermal,
E101,
E102,
E103,
E104,
E105,
E106,
E107,
E108,
E109,
E110,
E111,
E112,
E113,
% VEHICLES,
% Gasoline vehicles,
Gg01,
Gg02,
Gg03,
Gg04,
Gg05,
Gg06,
Gg07,
Gg08,
Gg09,
Gg10,
Gg11,
Gg12,
Gg13,
% Hybrids,
Gh01,
Gh02,
Gh03,
Gh04,
Gh05,
Gh06,
Gh07,
Gh08,
Gh09,
Gh10,
Gh11,
Gh12,
Gh13,
% CNVs,
Gn01,
Gn02,
Gn03,
Gn04,
Gn05,
Gn06,
Gn07,
Gn08,
Gn09,
Gn10,
Gn11,
Gn12,
Gn13,
% Vehicle demand,
VD01,
VD02,
VD03,
VD04,
VD05,
VD06,
VD07,
VD08,
VD09,
VD10,
VD11,
VD12,
VD13,
% Gas demand for vehicles,
ND01,
ND02,
ND03,
ND04,
ND05,
ND06,
ND07,
ND08,
ND09,
ND10,
ND11,
ND12,
ND13,
% Gasoline demand for vehicles,
GD01,
GD02,
GD03,
GD04,
GD05,
GD06,
GD07,
GD08,
GD09,
GD10,
GD11,
GD12,
GD13,
% Diesel demand for commodities,
DD01,
DD02,
DD03,
DD04,
DD05,
DD06,
DD07,
DD08,
DD09,
DD10,
DD11,
DD12,
DD13,
% Jet Gasoline demand for Planes,
JD01,
JD02,
JD03,
JD04,
JD05,
JD06,
JD07,
JD08,
JD09,
JD10,
JD11,
JD12,
JD13,
%Biomass processing plants,
% Biomass Combustion,
EM01,
EM02,
EM03,
EM04,
EM05,
EM06,
EM07,
EM08,
EM09,
EM10,
EM11,
EM12,
EM13,
% Anaerobic Digestor,
EA01,
EA02,
EA03,
EA04,
EA05,
EA06,
EA07,
EA08,
EA09,
EA10,
EA11,
EA12,
EA13,
% Biomass Gassification,
ES01,
ES02,
ES03,
ES04,
ES05,
ES06,
ES07,
ES08,
ES09,
ES10,
ES11,
ES12,
ES13,
% Refinery Combustion,
ER01,
ER02,
ER03,
ER04,
ER05,
ER06,
ER07,
ER08,
ER09,
ER10,
ER11,
ER12,
ER13,
% Bio-Refinery,
BR01,
BR02,
BR03,
BR04,
BR05,
BR06,
BR07,
BR08,
BR09,
BR10,
BR11,
BR12,
BR13,
% Bio-oil collection node,
BO01,
BO02,
BO03,
BO04,
BO05,
BO06,
BO07,
BO08,
BO09,
BO10,
BO11,
BO12,
BO13,
% Coal/ Biomass feedstock production nodes,
CPAL,
CPAZ,
CPAR,
CPCA,
CPCO,
CPCT,
CPDE,
CPFL,
CPGA,
CPID,
CPIL,
CPIN,
CPIA,
CPKS,
CPKY,
CPLA,
CPME,
CPMD,
CPMA,
CPMI,
CPMN,
CPMS,
CPMO,
CPMT,
CPNE,
CPNV,
CPNH,
CPNJ,
CPNM,
CPNY,
CPNC,
CPND,
CPOH,
CPOK,
CPOR,
CPPA,
CPRI,
CPSC,
CPSD,
CPTN,
CPTX,
CPUT,
CPVT,
CPVA,
CPWA,
CPWV,
CPWI,
CPWY,
